title,abstract,wosarticle__py,keywords,relevance
Ratcheting ambition to limit warming to 1.5 degrees C-trade-offs between emission reductions and carbon dioxide removal,"Mitigation scenarios to limit global warming to 1.5 degrees C or less in 2100 often rely on large amounts of carbon dioxide removal (CDR), which carry significant potential social, environmental, political and economic risks. A precautionary approach to scenario creation is therefore indicated. This letter presents the results of such a precautionary modelling exercise in which the models C-ROADS and En-ROADS were used to generate a series of 1.5 degrees C mitigation scenarios that apply increasingly stringent constraints on the scale and type of CDR available. This allows us to explore the trade-offs between near-term stringency of emission reductions and assumptions about future availability of CDR. In particular, we find that regardless of CDR assumptions, near-term ambition increase ('ratcheting') is required for any 1.5 degrees C pathway, making this letter timely for the facilitative, or Talanoa, dialogue to be conducted by the UNFCCC in 2018. By highlighting the difference between net and gross reduction rates, often obscured in scenarios, we find that mid-term gross CO2 emission reduction rates in scenarios with CDR constraints increase to levels without historical precedence. This in turn highlights, in addition to the need to substantially increase CO2 reduction rates, the need to improve emission reductions for non-CO2 greenhouse gases. Further, scenarios in which all or part of the CDR is implemented as non-permanent storage exhibit storage loss emissions, which partly offset CDR, highlighting the importance of differentiating between net and gross CDR in scenarios. We find in some scenarios storage loss trending to similar values as gross CDR, indicating that gross CDR would have to be maintained simply to offset the storage losses of CO2 sequestered earlier, without any additional net climate benefit.",2018,carbon dioxide removal; Paris Agreement; climate change mitigation; mitigation pathways; GHG emission pathways; climate model,Yes (1)
Hydrogen production with integrated CO2 capture in a membrane assisted gas switching reforming reactor: Proof-of-Concept,"This paper presents a new membrane reactor concept for ultra-pure hydrogen production with integrated CO2 capture: the membrane-assisted gas switching reforming (MA-GSR). This concept integrates alternating exothermic and endothermic redox reaction stages in a single fluidized bed consisting of catalytically active oxygen-carrier particles, by switching the feed between air and methane/steam, where the produced hydrogen is selectively removed via Pd-based membranes. This concept results in overall autothermal conditions and allows easier operation at high pressure compared to alternative novel technologies. In this work, the MA-GSR concept is demonstrated at lab scale using four metallic supported membranes (Pd-Ag based) immersed into a fluidized bed consisting of a Ni-based oxygen carrier. The performance of the reactor has been tested under different experimental operating conditions and high methane conversions (>50%) have been obtained, well above the thermodynamic equilibrium conversion of a conventional fluidized bed as a result of the selective H-2 extraction, with (ultra-pure) H-2 recoveries above 20% at relatively low temperatures (<550 degrees C). These results could be further improved by working at elevated pressures or by integrating more membranes. Even though the concept has been successfully demonstrated, further research is required to develop suitable membranes since post-mortem membrane characterization has revealed defects in the membrane selective layer as a consequence of the frequent exposure to thermal cycles with alternating oxidative and reducing atmospheres. (C) 2018 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved.",2018,Gas switching; Reforming; Palladium membrane; Experimental demonstration; Proof of concept; Hydrogen production,No (2)
Sustainable synthesis of amino acids by catalytic fixation of molecular dinitrogen and carbon dioxide,"The industrial process of nitrogen fixation is complex and results in a huge economic and environmental impact. It requires a catalyst and high temperature and pressure to induce the rupture of the strong N-N bond and subsequent hydrogenation. On the other hand, carbon dioxide removal from the atmosphere has become a priority objective due to the high amount of global carbon dioxide emissions (i.e. 36 200 million tons in 2015). In this work, we fix nitrogen from N-2 and carbon from CO2 and CH4 to obtain both glycine and alanine (D/L racemic mixture), the two simplest amino acids. The synthesis, catalyzed by polarized hydroxyapatite under UV light irradiation and conducted in an inert reaction chamber, starts from a simple gas mixture containing N-2, CO2, CH4 and H2O and uses mild reaction conditions. At atmospheric pressure and 95 degrees C, the glycine and alanine molar yields with respect to CH4 or CO2 are about 1.9% and 1.6%, respectively, but they grow to 3.4% and 2.4%, when the pressure increases to 6 bar and the temperature is maintained at 95 degrees C. Besides, the minimum temperature required for the successful production of detectable amounts of amino acids is 75 degrees C. Accordingly, an artificial photosynthetic process has been developed by using an electrophotocatalyst based on hydroxyapatite thermally and electrically stimulated and coated with zirconyl chloride and a phosphonate. The synthesis of amino acids by direct fixation of nitrogen and carbon from gas mixtures opens new avenues regarding the nitrogen fixation for industrial purposes and the recycling of carbon dioxide.",2018,,No (2)
"Negative emissions-Part 2: Costs, potentials and side effects","The most recent IPCC assessment has shown an important role for negative emissions technologies (NETs) in limiting global warming to 2 degrees C cost-effectively. However, a bottom-up, systematic, reproducible, and transparent literature assessment of the different options to remove CO2 from the atmosphere is currently missing. In part 1 of this three-part review on NETs, we assemble a comprehensive set of the relevant literature so far published, focusing on seven technologies: bioenergy with carbon capture and storage (BECCS), afforestation and reforestation, direct air carbon capture and storage (DACCS), enhanced weathering, ocean fertilisation, biochar, and soil carbon sequestration. In this part, part 2 of the review, we present estimates of costs, potentials, and side-effects for these technologies, and qualify them with the authors' assessment. Part 3 reviews the innovation and scaling challenges that must be addressed to realise NETs deployment as a viable climate mitigation strategy. Based on a systematic review of the literature, our best estimates for sustainable global NET potentials in 2050 are 0.5-3.6 GtCO(2) yr(-1) for afforestation and reforestation, 0.5-5GtCO(2) yr(-1) for BECCS, 0.5-2GtCO(2) yr(-1) for biochar, 2-4 GtCO(2) yr(-1) for enhanced weathering, 0.5-5 GtCO(2) yr(-1) for DACCS, and up to 5GtCO(2) yr(-1) for soil carbon sequestration. Costs vary widely across the technologies, as do their permanency and cumulative potentials beyond 2050. It is unlikely that a single NET will be able to sustainably meet the rates of carbon uptake described in integrated assessment pathways consistent with 1.5 degrees C of global warming.",2018,climate change mitigation; negative emission technologies; carbon dioxide removal; scenarios,Yes (1)
The point of no return for climate action: effects of climate uncertainly and risk tolerance,"If the Paris Agreement targets are to be met, there may be very few years left for policy makers to start cutting emissions. Here we calculate by what year, at the latest, one has to take action to keep global warming below the 2 K target (relative to pre-industrial levels) at the year 2100 with a 67 % probability; we call this the point of no return (PNR). Using a novel, stochastic model of CO2 concentration and global mean surface temperature derived from the CMIP5 ensemble simulations, we find that cumulative CO2 emissions from 2015 onwards may not exceed 424 GtC and that the PNR is 2035 for the policy scenario where the share of renewable energy rises by 2 % year(-1). Pushing this increase to 5 % year(-1) delays the PNR until 2045. For the 1.5 K target, the carbon budget is only 198 GtC and there is no time left before starting to increase the renewable share by 2 % year(-1). If the risk tolerance is tightened to 5 %, the PNR is brought forward to 2022 for the 2 K target and has been passed already for the 1.5 K target. Including substantial negative emissions towards the end of the century delays the PNR from 2035 to 2042 for the 2 K target and to 2026 for the 1.5 K target. We thus show how the PNR is impacted not only by the temperature target and the speed by which emissions are cut but also by risk tolerance, climate uncertainties and the potential for negative emissions. Sensitivity studies show that the PNR is robust with uncertainties of at most a few years.",2018,,No (2)
Impacts on terrestrial biodiversity of moving from a 2 degrees C to a 1.5 degrees C target,"We applied a recently developed tool to examine the reduction in climate risk to biodiversity in moving from a 2 degrees C to a 1.5 degrees C target. We then reviewed the recent literature examining the impact of (a) land-based mitigation options and (b) land-based greenhouse gas removal options on biodiversity. We show that holding warming to 1.5 degrees C versus 2 degrees C can significantly reduce the number of species facing a potential loss of 50% of their climatic range. Further, there would be an increase of 5.5-14% of the globe that could potentially act as climatic refugia for plants and animals, an area equivalent to the current global protected area network. Efforts to meet the 1.5 degrees C target through mitigation could largely be consistent with biodiversity protection/enhancement. For impacts of land-based greenhouse gas removal technologies on biodiversity, some (e.g. soil carbon sequestration) could be neutral or positive, others (e.g. bioenergy with carbon capture and storage) are likely to lead to conflicts, while still others (e.g. afforestation/reforestation) are context-specific, when applied at scales necessary for meaningful greenhouse gas removal. Additional effort to meet the 1.5 degrees C target presents some risks, particularly if inappropriately managed, but it also presents opportunities. This article is part of the theme issue 'The Paris Agreement: understanding the physical and social challenges for a warming world of 1.5 degrees C above pre-industrial levels'.",2018,biodiversity; climate change targets; land; greenhouse gas removal,Yes (1)
Satellite-Observed Major Greening and Biomass Increase in South China Karst During Recent Decade,"Above-ground vegetation biomass is one of the major carbon sinks and provides both provisioning (e.g., forestry products) and regulating ecosystem services (by sequestering carbon). Continuing deforestation and climate change threaten this natural resource but can effectively be countered by national conservation policies. Here we present time series (1999-2017) derived from complementary satellite systems to describe a phenomenon of global significance: the greening of South China Karst. We find a major increase in growing season vegetation cover from 69% in 1999 to 81% in 2017 occurring over similar to 1.4 million km(2). Over 1999-2012, we report one of the globally largest increases in biomass to occur in the South China Karst region (on average +4% over 0.9 million km(2)), which accounts for similar to 5% of the global areas characterized with increases in biomass. These increases in southern China's vegetation have occurred despite a decline in rainfall (-8%) and soil moisture (-5%) between 1999 and 2012 and are derived from effects of forestry and conservation activities at an unprecedented spatial scale in human history (similar to 20,000km(2)yr(-1) since 2002). These findings have major implications for the provisioning of ecosystem services not only for the Chinese karst ecosystem (e.g., carbon storage, water filtration, and timber production) but also for the study of global carbon cycles.",2018,China karst; conservation; afforestation; passive microwaves; ecological engineering; vegetation optical depth,No (2)
"Electric sector policy, technological change, and US emissions reductions goals: Results from the EMF 32 model intercomparison project","The Energy Modeling Forum (EMF) 32 study compares a range of coordinated scenarios to explore implications of U.S. climate policy options and technological change on the electric power sector. Harmonized policy scenarios (including mass-based emissions limits and various power-sector-only carbon tax trajectories) across 16 models provide comparative assessments of potential impacts on electric sector investment and generation outcomes, emissions reductions, and economic implications. This paper compares results across these policy alternatives, including a variety of technological and natural gas price assumptions, and summarizes robust findings and areas of disagreement across participating models. Under a wide range of policy, technology, and market assumptions, model results suggest that future coal generation will decline relative to current levels while generation from natural gas, wind, and solar will increase, though the pace and extent of these changes vary by policy scenario, technological assumptions, region, and model. Climate policies can amplify trends already under way and make them less susceptible to future market changes. The model results provide useful insights to a range of stakeholders, but future research focused on intersectoral linkages in emission reductions (e.g., the role of electrification), effects of energy storage, and better coverage of bioenergy with carbon capture and storage (BECCS) can improve insights even further. (C) 2018 Elsevier B.V. All rights reserved.",2018,Climate policy; Energy-economic modeling; Model intercomparison; Market-based environmental policy; Technology; Electric sector,No (2)
Enhanced biochars can match activated carbon performance in sediments with high native bioavailability and low final porewater PCB concentrations,"A bench scale study was conducted to evaluate the effectiveness of in situ amendments to reduce the bioavailability of pollutants in sediments from a site impacted with polychlorinated biphenyls (PCBs), polycyclic aromatic hydrocarbons (PAHs) and cadmium. The amendments tested included fine and coarse coal-based activated carbons (AC), an enhanced pinewood derived biochar (EPB), organoclay, and coke dosed at 5% of sediment dry weight. Strong reductions in total PCB porewater concentrations were observed in sediments amended with the fine AC (94.9-99.5%) and EPB (99.6-99.8%). More modest reductions were observed for the coarse AC, organoclay, and coke. Strong reductions in porewater PCB concentrations were reflected in reductions in total PCB bioaccumulation in fresh water oligochaetes for both the fine AC (91.9-96.0%) and EPB (96.1-96.3%). Total PAH porewater concentrations were also greatly reduced by the fine AC (>96.1%) and EPB (>97.8%) treatments. EPB matched or slightly outperformed the fine AC throughout the study, despite sorption data indicating a much stronger affinity of PCBs for the fine AC. Modeling EPB and fine AC effectiveness on other sediments confirmed the high effectiveness of the EPB was due to the very low final porewater concentrations and differences in the native bioavailability between sediments. However, low bulk density and poor settling characteristics make biochars difficult to apply in an aquatic setting. Neither the EPB nor the fine AC amendments were able to significantly reduce Cd bioavailability. (C) 2018 Elsevier Ltd. All rights reserved.",2018,Biochar; Activated carbon; Sorption; Bioavailability; Remediation,No (2)
Comprehensive Evaluation of Coal-Fired Power Units Using Grey Relational Analysis and a Hybrid Entropy-Based Weighting Method,"In recent years, coal-fired power plants contribute the biggest part of power generation in China. Challenges of energy conservation and emission reduction of the coal-fired power plant encountering with a rapid growth due to the rising proportion of renewable energy generation in total power generation. Energy saving power generation dispatch (ESPGD) based on power units sorting technology is a promising approach to meet the challenge. Therefore, it is crucial to establish a reasonable and feasible multi-index comprehensive evaluation (MICE) framework for assessing the performance of coal-fired power units accessed by the power grid. In this paper, a hierarchical multiple criteria evaluation system was established. Except for the typical economic and environmental indices, the evaluation system considering operational flexibility and power quality indices either. A hybrid comprehensive evaluation model was proposed to assess the unit operational performance. The model is an integration of grey relational analysis (GRA) with analytic hierarchy process (AHP) and a novel entropy-based method (abbreviate as BECC) which integrates bootstrap method and correlation coefficient (CC) into entropy principle to get the objective weight of indices. Then a case study on seven typical 600 megawatts coal-fired power units was carried out to illustrate the proposed evaluation model, and a weight sensitivity analysis was developed in addition. The results of the case study shows that unit 4 has the power generating priority over the rest ones, and unit 2 ranks last, with the lowest grey relational degree. The weight sensitivity analysis shows that the environmental factor has the biggest sensitivity coefficient. And the validation analysis of the developed BECC weight method shows that it is feasible for the MICE model, and it is stable with an ignorable uncertainty caused by the stochastic factor in the bootstrapping process. The elaborate analysis of the result reveals that it is feasible to rank power units with the proposed evaluation model. Furthermore, it is beneficial to synthesize the updated multiple criteria in optimizing the power generating priority of coal-fired power units.",2018,coal-fired power units; GRA; bootstrap; entropy; AHP; sensitivity analysis,No (2)
Impacts of soil carbon sequestration on life cycle greenhouse gas emissions in Midwestern USA beef finishing systems,"Beef cattle have been identified as the largest livestock-sector contributor to greenhouse gas (GHG) emissions. Using life cycle analysis (LCA), several studies have concluded that grass-finished beef systems have greater GHG intensities than feedlot-finished (FL) beef systems. These studies evaluated only one grazing management system - continuous grazing - and assumed steady-state soil carbon (C), to model the grass-finishing environmental impact. However, by managing for more optimal forage growth and recovery, adaptive multi-paddock (AMP) grazing can improve animal and forage productivity, potentially sequestering more soil organic carbon (SOC) than continuous grazing. To examine impacts of AMP grazing and related SOC sequestration on net GHG emissions, a comparative LCA was performed of two different beef finishing systems in the Upper Midwest, USA: AMP grazing and FL. We used on-farm data collected from the Michigan State University Lake City AgBioResearch Center for AMP grazing. Impact scope included GHG emissions from enteric methane, feed production and mineral supplement manufacture, manure, and on-farm energy use and transportation, as well as the potential C sink arising from SOC sequestration. Across-farm SOC data showed a 4-year C sequestration rate of 3.59 Mg C ha(-1) yr(-1) in AMP grazed pastures. After including SOC in the GHG footprint estimates, finishing emissions from the AMP system were reduced from 9.62 to -6.65 kg CO2-e kg carcass weight (CW)(-1), whereas FL emissions increased slightly from 6.09 to 6.12 kg CO2-e kg CW-1 due to soil erosion. This indicates that AMP grazing has the potential to offset GHG emissions through soil C sequestration, and therefore the finishing phase could be a net C sink. However, FL production required only half as much land as AMP grazing. While the SOC sequestration rates measured here were relatively high, lower rates would still reduce the AMP emissions relative to the FL emissions. This research suggests that AMP grazing can contribute to climate change mitigation through SOC sequestration and challenges existing conclusions that only feedlot-intensification reduces the overall beef GHG footprint through greater productivity.",2018,Life cycle assessment; Greenhouse gas emissions; Soil carbon sequestration; Beef production; Adaptive multi-paddock grazing; Feedlot finishing,Yes (1)
Catalyst-TiO(OH)(2) could drastically reduce the energy consumption of CO2 capture,"Implementing Paris Climate Accord is inhibited by the high energy consumption of the state-of-the-art CO2 capture technologies due to the notoriously slow kinetics in CO2 desorption step of CO2 capture. To address the challenge, here we report that nanostructured TiO(OH)(2) as a catalyst is capable of drastically increasing the rates of CO2 desorption from spent monoethanolamine (MEA) by over 4500%. This discovery makes CO2 capture successful at much lower temperatures, which not only dramatically reduces energy consumption but also amine losses and prevents emission of carcinogenic amine-decomposition byproducts. The catalytic effect of TiO(OH)(2) is observed with Raman characterization. The stabilities of the catalyst and MEA are confirmed with 50 cyclic CO2 sorption and sorption. A possible mechanism is proposed for the TiO(OH)(2)-catalyzed CO2 capture. TiO(OH)(2) could be a key to the future success of Paris Climate Accord.",2018,,No (2)
The role of CCS and biomass-based processes in the refinery sector for different carbon scenarios,"This paper studies technological pathways in the refinery sector, such as fuel switching, carbon capture and storage (CCS), energy efficiency as well as retrofit decisions (i.e. upgrading, scaling-up, and equipment modernisation) with the aim of decarbonisation. A global refinery outlook is presented for a 2.5 degrees C and 2 degrees C climate target scenario from 2010 through to 2050. The results highlight that a full portfolio of technologies (non-conventional processes, gas-/coal- based, with/without CCS, and biomass- based process) is necessary. Among the conventional refineries, only the most efficient ones or those investing in CCS to increase competitiveness and reducing emissions, can stay in the market.",2018,refinery; energy; emissions; carbon capture and storage,No (2)
Life cycle assessment and life cycle cost of university dormitories in the southeast China: Case study of the university town of Fuzhou,"The aim of this paper is to assess university dormitories in terms of life cycle environmental impact and cost, as part of the university campuses sustainable development in southeast China. This life cycle assessment follows the ISO 14040/44 methodology, considering the construction, operation, maintenance and demolition stages. The reference unit of this study is defined as 'one useful square meter university dormitories with 50 years life time'. This study estimates the life cycle inventory by: 1) tenders information of university dormitories built in the university town of Fuzhou during 2007-2011, 2) water and energy bills of those building over past 5 years, 3) damage and maintenance report of dormitories in Fuzhou University and Fujian University of traditional Chinese medicine during 2004-2014. The Ecoinvent database provides the background data to the analysis. The results indicate that 1) the use stage, including operation and maintenance is the dominate part of the life cycle environmental impacts and cost of university dormitories. 2) The consumption of electricity constitutes the main elements causing the environmental impacts over the life cycle of university dormitories. The technology for more energy efficient building is more important than other factors. 3) The window, concrete, steel, and cement have the largest contribution to the embodied environmental impacts but with the relative small contribution to the life cycle cost. Therefore, two main improving opportunities for reducing the environmental impacts of Chinese university dormitories development are identified: 1) improving building with deep renovation for current dormitories and implementing low energy buildings standards for new built dormitories the buildings energy efficiency and 2) increasing the use of low environmental impacts building material by implementing the carbon tax on main building material and introducing timbers as structure material. Moreover, policies to promote the more renewable energy supply and the implementation of carbon capture and storage technology constitute another import issue. (C) 2017 Elsevier Ltd. All rights reserved.",2018,Life cycle assessment; Life cycle cost; CO2; University dormitories; China,No (2)
Simulation of Soil Organic Carbon Effects on Long-Term Winter Wheat (Triticum aestivum) Production Under Varying Fertilizer Inputs,"Soil organic carbon (SOC) has a vital role to enhance agricultural productivity and for mitigation of climate change. To quantify SOC effects on productivity, process models serve as a robust tool to keep track of multiple plant and soil factors and their interactions affecting SOC dynamics. We used soil-plant-atmospheric model viz. DAISY, to assess effects of SOC on nitrogen (N) supply and plant available water (PAW) under varying N fertilizer rates in winter wheat (Triticum aestivum) in Denmark. The study objective was assessment of SOC effects on winter wheat grain and aboveground biomass accumulation at three SOC levels (low: 0.7% SOC; reference: 1.3% SOC; and high: 2% SOC) with five nitrogen rates (0-200 kg N ha(-1)) and PAW at low, reference, and high SOC levels. The three SOC levels had significant effects on grain yields and aboveground biomass accumulation at only 0-100 kg N ha(-1) and the SOC effects decreased with increasing N rates until no effects at 150-200 kg N ha(-1). PAW had significant positive correlation with SOC content, with high SOC retaining higher PAW compared to low and reference SOC. The mean PAW and SOC correlation was given by PAW% = 1.0073 x SOC% + 15.641. For the 0.7-2% SOC range, the PAW increase was small with no significant effects on grain yields and aboveground biomass accumulation. The higher winter wheat grain and aboveground biomass was attributed to higher N supply in N deficient wheat production system. Our study suggested that building SOC enhances agronomic productivity at only 0-100 kg N ha(-1). Maintenance of SOC stock will require regular replenishment of SOC, to compensate for the mineralization process degrading SOC over time. Hence, management can maximize realization of SOC benefits by building up SOC and maintaining N rates in the range 0-100 kg N ha(-1), to reduce the off-farm N losses depending on the environmental zones, land use and the production system.",2018,grain yield; DAISY model; nitrogen; plant available water; pedotransfer functions; long-term experiment; crop productivity,No (2)
Public perceptions about climate change mitigation in British Columbia's forest sector,"The role of forest management in mitigating climate change is a central concern for the Canadian province of British Columbia. The successful implementation of forest management activities to achieve climate change mitigation in British Columbia will be strongly influenced by public support or opposition. While we now have increasingly clear ideas of the management opportunities associated with forest mitigation and some insight into public support for climate change mitigation in the context of sustainable forest management, very little is known with respect to the levels and basis of public support for potential forest management strategies to mitigate climate change. This paper, by describing the results of a web-based survey, documents levels of public support for the implementation of eight forest carbon mitigation strategies in British Columbia's forest sector, and examines and quantifies the influence of the factors that shape this support. Overall, respondents ascribed a high level of importance to forest carbon mitigation and supported all of the eight proposed strategies, indicating that the British Columbia public is inclined to consider alternative practices in managing forests and wood products to mitigate climate change. That said, we found differences in levels of support for the mitigation strategies. In general, we found greater levels of support for a rehabilitation strategy (e.g. reforestation of unproductive forest land), and to a lesser extent for conservation strategies (e.g. old growth conservation, reduced harvest) over enhanced forest management strategies (e.g. improved harvesting and silvicultural techniques). We also highlighted multiple variables within the British Columbia population that appear to play a role in predicting levels of support for conservation and/or enhanced forest management strategies, including environmental values, risk perception, trust in groups of actors, prioritized objectives of forest management and socio-demographic factors.",2018,,Yes (1)
Field-warmed soil carbon changes imply high 21st-century modeling uncertainty,"The feedback between planetary warming and soil carbon loss has been the focus of considerable scientific attention in recent decades, due to its potential to accelerate anthropogenic climate change. The soil carbon temperature sensitivity is traditionally estimated from short-term respiration measurements - either from laboratory incubations that are artificially manipulated or from field measurements that cannot distinguish between plant and microbial respiration. To address these limitations of previous approaches, we developed a new method to estimate soil temperature sensitivity (Q(10)) of soil carbon directly from warming-induced changes in soil carbon stocks measured in 36 field experiments across the world. Variations in warming magnitude and control organic carbon percentage explained much of field-warmed organic carbon percentage (R-2 = 0.96), revealing Q(10) across sites of 2.2 [1.6, 2.7] 95% confidence interval (CI). When these field-derived Q(10) values were extrapolated over the 21st century using a post hoc correction of 20 Coupled Model Intercomparison Project Phase 5 (CMIP5) Earth system model outputs, the multi-model mean soil carbon stock changes shifted from the previous value of 88 +/- 153 Pg carbon (weighted mean +/- 1 SD) to 19 +/- 155 Pg carbon with a Q(10)-driven 95% CI of 248 +/- 191 to 95 +/- 209 Pg carbon. On average, incorporating the field-derived Q(10) values into Earth system model simulations led to reductions in the projected amount of carbon sequestered in the soil over the 21st century. However, the considerable parameter uncertainty led to extremely high variability in soil carbon stock projections within each model; intra-model uncertainty driven by the field-derived Q(10) was as great as that between model variation. This study demonstrates that data integration should capture the variation of the system, as well as mean trends.",2018,,No (2)
Soil organic carbon pool's contribution to climate change mitigation on marginal land of a Mediterranean montane area in Italy,"To evaluate the mitigation potential provided by the SOC pool, we investigated the impact of woody encroachment in the 0-30 cm depth of mineral soil across a natural succession from abandoned pastures and croplands to broadleaves forests on the central Apennine in Italy. In parallel, to assess the effect of the land use change (WC) from cropland to pasture, a series of pastures established on former agricultural sites, abandoned at different time in the past, were also investigated. Our results show that woody encroachment on former pastures and croplands contributes largely to mitigate climate change, with an increase of the original SOC stock of 45% (40.5 Mg C ha(-1)) and 120% (66.5 Mg C ha(-1)), respectively. Also the LUC from croplands to pastures, greatly contributes to climate change mitigation trough a SOC increase of about 80% of the original SOC (45.9 Mg C ha(-1)). The management of abandoned lands represent a crucial point in the mitigation potential of agriculture and forestry activities, and particularly the role of the SOC pool. A policy effort should focus on minimizing the risk of speculative management options, particularly when the value of woody biomass become convenient to supply new energy systems allowing monetizing a long term forests productivity. In conclusion, despite both the land abandonment and the LUC can have a different impact on the SOC pool under different climatic conditions, these results can be useful to improve the SOC estimates in the National greenhouse gases Inventory at country level. (C) 2018 Elsevier Ltd. All rights reserved.",2018,,No (2)
Metal fractionation in marine sediments acidified by enrichment of CO2: A risk assessment,"Carbon-capture and storage is considered to be a potential mitigation option for climate change. However, accidental leaks of CO2 can occur, resulting in changes in ocean chemistry such as acidification and metal mobilization. Laboratory experiments were performed to provide data on the effects of CO2-related acidification on the chemical fractionation of metal(loid)s in marine-contaminated sediments using sequential extraction procedures. The results showed that sediments from Huelva estuary registered concentrations of arsenic, copper, lead, and zinc that surpass the probable biological effect level established by international protocols. Zinc had the greatest proportion in the most mobile fraction of the sediment. Metals in this fraction represent an environmental risk because they are weakly bound to sediment, and therefore more likely to migrate to the water column. Indeed, the concentration of this metal was lower in the most acidified scenarios when compared to control pH, indicating probable zinc mobilization from the sediment to the seawater.",2018,Acidification; Metal(loid)s; Carbon capture and storage; Sequential extraction procedure; Speciation; Contamination,No (2)
"Promoting revegetation and soil carbon sequestration on decommissioned forest roads in Colorado, USA: A comparative assessment of organic soil amendments","Forest roads are commonly decommissioned and revegetated to decrease erosion, prevent weed encroachment, manage recreation and improve overall watershed condition on federal lands, but may also provide a complementary opportunity to sequester carbon (C) in soils. Soils on decommissioned roads are typically compacted with limited capacity for water retention, decreased mineral nitrogen (N) availability and low organic matter content, impairing revegetation and soil C sequestration efforts. We evaluated the effects of an organic fertilizer, wood strand mulch and a woody biochar on soil physical, chemical and biological processes to improve revegetation and C sequestration on decompacted forest roads. We monitored plant and soil responses to the treatments and their combinations over three growing seasons on four decommissioned road segments in northern Colorado. The organic fertilizer increased plant available mineral N for the first year of the study and resulted in a 21% increase in total plant cover and 67% increase in root biomass. The wood strand mulch increased total plant cover and root biomass to a similar extent, but had no effect on soil water content or mineral N availability. Instead, mulch stimulated soil microbial respiration and increased soil C content, two of the best predictors of plant cover and biomass. The woody biochar increased soil water content by 26% and elevated mineral N availability throughout the study, but did not improve plant cover, above- or belowground biomass. Mulch, biochar and their combined treatments sequestered C, but through distinct pathways. Microbial processing of wood strand mulch added C to the mineral soil fraction, whereas biochar added C directly to the coarse particulate fraction with no effect on mineral soil C or soil respiration. Restoration practitioners can utilize these results to inform management decisions and guide further research on different rates and combinations of organic amendments to revegetate and sequester C on decommissioned forest roads.",2018,,No (2)
Feasibility of biodiesel production and CO2 emission reduction by &ITMonoraphidium dybowskii&IT LB50 under semi-continuous culture with open raceway ponds in the desert area,"Background: Compared with other general energy crops, microalgae are more compatible with desert conditions. In addition, microalgae cultivated in desert regions can be used to develop biodiesel. Therefore, screening oil-rich microalgae, and researching the algae growth, CO2 fixation and oil yield in desert areas not only effectively utilize the idle desertification lands and other resources, but also reduce CO2 emission.& para;& para;Results: Monoraphidium dybowskii LB50 can be efficiently cultured in the desert area using light resources, and lipid yield can be effectively improved using two-stage induction and semi-continuous culture modes in open raceway ponds (ORPs). Lipid content (LC) and lipid productivity (LP) were increased by 20% under two-stage industrial salt induction, whereas biomass productivity (BP) increased by 80% to enhance LP under semi-continuous mode in 5 m(2) ORPs. After 3 years of operation, M. dybowskii LB50 was successfully and stably cultivated under semi-continuous mode for a month during five cycles of repeated culture in a 200 m(2) ORP in the desert area. This culture mode reduced the supply of the original species. The BP and CO2 fixation rate were maintained at 18 and 33 g M-2 day(-1), respectively. Moreover, LC decreased only during the fifth cycle of repeated culture. Evaporation occurred at 0.9-1.8 L M-2 day(-1), which corresponded to 6.5-13% of evaporation loss rate. Semi-continuous and two-stage salt induction culture modes can reduce energy consumption and increase energy balance through the energy consumption analysis of life cycle.& para;& para;Conclusion: This study demonstrates the feasibility of combining biodiesel production and CO2 fixation using microalgae grown as feedstock under culture modes with ORPs by using the resources in the desert area. The understanding of evaporation loss and the sustainability of semi-continuous culture render this approach practically viable. The novel strategy may be a promising alternative to existing technology for CO2 emission reduction and biofuel production.",2018,Microalgae; Lipid production; Semi-continuous culture; CO2 fixation; Open raceway ponds; Desert area; Evaporation,No (2)
Charge-modulated CO2 capture of C3N nanosheet: Insights from DFT calculations,"Increasing concerns about the atmospheric CO2 concentration and its impact on the environment promote developing new materials and technologies for efficient CO2 capture and conversion. Here, for the first time we investigate the CO2 adsorption on C3N nanosheet with different charge states by means of density functional theory calculations. It is found that injecting extra negative electrons instead of positive electrons can extremely improve CO2 adsorption capacity of C3N nanomaterial. The adsorption strength of CO2 molecules on this 3 e(-) negatively charged nanomaterial is 20 times of that on neutral surface while there is little difference between these on positively charged surface and the neutral surface. Interestingly, CO2 molecules can spontaneously adsorb and desorb from C3N sorbent with appropriate charge density range by injecting and removing extra negative charges. Importantly, this negatively charged C3N exhibits highly selective adsorption for CO2/C2H2, CO2/CH4, CO2/H-2, C2H2/CH4 and C2H2/H-2 mixtures through tuning charge density. Our theoretical results could provide guidance for designing high-capacity and high-selectivity CO2 capture materials.",2018,Density functional theory; CO2 capture; Charge-controlled; Polarization; Adsorption energy,No (2)
